0,1,2
,Foreword,iii
,Rationalisation of Content in the Textbooks,v
,To the Teacher,vii
1.,A Letter to God,1
,Dust of Snow R OBERT F ROST,14
,Fire and Ice,15
,R OBERT F ROST,
2.,Nelson Mandela:Long Walk to Freedom N ELSON R OLIHLAHLA M ANDELA,16
,A Tiger in the Zoo L ESLIE N ORRIS,29
3.,Two Stories about Flying I. His First Flight L IAM O' F LAHERTY,32
,II. Black Aeroplane F REDERICK F ORSYTH How to Tell Wild Animals,43
,The Ball Poem J OHN B ERRYMAN,46
4.,From the Diary of Anne Frank A NNE F RANK,48
,Amanda! OBIN LEIN,61
