S. No,Field measurements,Men,Women
1,"Side lines (AB, CD, EF & GH)",13 meter,12 meter
2,"End Line (AD, BC)",10 meter,8 meter
3,"Lobby (AE, BF, DG, CH)",1 meter,1 meter
4,"Baulk Line (from Mid line) (LN, KM, LR, KQ)",3.75 meter,3 meter
5,"Baulk Line (RQ, MN)",8 meter,6 meter
6,Mid-line (IJ),10 meter,8 meter
7,"Bonus Line (TS, PO) from Baulk Line (RT, QS, MO, NP)",1 meter,1 meter
8,"Bonus Line (MN, ST)",8 meter,6 meter
9,Sitting Block (2 meters away from End lines),8×1 meter,6×1 meter
10,Court (each half of the playfield divided by the mid line),6.5×8 meter,6×6 meter
11,Space surrounding the play field,4 meter,4 meter
12,Duration of the match,20-5-20 Minutes,15-5-15 Minutes
