0,1,2
12.,Surface Areas and Volumes,161
12.1,Introduction,161
12.2,Surface Area of a Combination of Solids,162
12.3,Volume of a Combination of Solids,167
12.4,Summary,170
13.,Statistics,171
13.1,Introduction,171
13.2,Mean of Grouped Data,171
13.3,Mode of Grouped Data,183
13.4,Median of Grouped Data,188
13.5,Summary,200
14.,Probability,202
14.1,Probability -ATheoreticalApproach,202
14.2,Summary,217
Appendix A1 : Proofs in Mathematics,Appendix A1 : Proofs in Mathematics,218
A1.1,Introduction,218
A1.2,Mathematical Statements Revisited,218
A1.3,Deductive Reasoning,221
A1.4,"Conjectures, Theorems, Proofs and Mathematical Reasoning",223
A1.5,Negation of a Statement,228
A1.6,Converse of a Statement,231
A1.7,Proof by Contradiction,234
A1.8,Summary,238
Appendix A2 : Mathematical,Modelling,239
A2.1,Introduction,239
A2.2,Stages in Mathematical Modelling,240
A2.3,SomeIllustrations,244
A2.4,Whyis Mathematical Modelling Important?,248
A2.5,Summary,249
,Answers/Hints,250
