0,1,2,3,4,5,6,7,8,9,10,11
,A,n,s,w,e,,s,r,,,
Chapter 1,Chapter 1,Chapter 1,Chapter 1,Chapter 1,2.,(d),3.,(a),1. (i),,
Chapter 2,Chapter 2,Chapter 2,Chapter 2,Chapter 2,2.,(b),3.,(d),1. (d),,
Chapter 3 1. (d),Chapter 3 1. (d),Chapter 3 1. (d),Chapter 3 1. (d),Chapter 3 1. (d),2.,(c),3.,(a),,,
Chapter 4 1.,Chapter 4 1.,Chapter 4 1.,Chapter 4 1.,Chapter 4 1.,2.,(c),3.,(b),,,
Chapter 5 1. (c),Chapter 5 1. (c),Chapter 5 1. (c),Chapter 5 1. (c),Chapter 5 1. (c),2.,(a),3.,(d),,,
Chapter 6 1. (d),Chapter 6 1. (d),Chapter 6 1. (d),Chapter 6 1. (d),Chapter 6 1. (d),2.,(b),3.,(d),,,
Chapter 7 1. (b),Chapter 7 1. (b),Chapter 7 1. (b),Chapter 7 1. (b),Chapter 7 1. (b),2.,(c),3.,(d),,,
Chapter 8 (c),Chapter 8 (c),Chapter 8 (c),Chapter 8 (c),Chapter 8 (c),,,,,1.,,
Chapter 9,Chapter 9,Chapter 9,Chapter 9,Chapter 9,,(d),3.,(b),1. (d),,
,Distance,Distance,Distance,Distance,2. 5.,(d),6.,(c),4. (a),,
7.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.,less than 15 cm; virtual; Enlarged.
9.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10.,"16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted.","16.7 cm from the lens on the other side; 3.3 cm, reduced; real, inverted."
11.,30 cm,30 cm,30 cm,30 cm,30 cm,30 cm,30 cm,30 cm,30 cm,30 cm,30 cm
