Steel Plants,Year of Establishment,Collaborating Country,Location
IISCO,1870-1913 (Private initially),(Nationalised in 1972),Kulti and Burnpur (W.B.)
TISCO,1907 (Private ownership),Jamshedji Tata,Jamshedpur (Jharkhand)
VISL,1923 Private as MISCO,Nationalised later,Bhadravati (Karnataka)
Bhilai,1959 (Public Sector),Soviet Union,Bhilai (Chhattisgarh)
Bokaro,1972 (Public Sector),Soviet Union,Bokaro (Jharkhand)
Durgapur,1959 (Public Sector),U.K.,Durgapur (W.B.)
Rourkela,- (Public Sector),Germany,Rourkela (Odisha)
Vishakhapatnam,- (Public Sector),-,Vishakhapatnam Andhra Pradesh
Salem,- (Public Sector),-,Salem (T. Nadu)
Vijay Nagar,- Public Sector,-,Karnataka
