Years,Month,Malnourished (underweight),Normal,Malnourished (obesity)
14,0,Less than 15.4,15.4 to 27.3,More than 27.3
14,1,Less than 15.5,15.5 to 27.4,More than 27.4
14,2,Less than 15.5,15.5 to 27.5,More than 27.5
14,3,Less than 15.6,15.6 to 27.6,More than 27.6
14,4,Less than 15.6,15.6 to 27.7,More than 26.3
14,5,Less than 15.6,15.6 to 27.7,More than 27.7
14,6,Less than 15.7,15.7 to 27.8,More than 27.8
14,7,Less than 15.7,15.7 to 27.9,More than 27.9
14,8,Less than 15.7,15.7 to 28.0,More than 28.0
14,9,Less than 15.8,15.8 to 28.0,More than 28.0
14,10,Less than 15.8,15.8 to 28.1,More than 28.1
14,11,Less than 15.8,15.8 to 28.2,More than 28.2
15,0,Less than 15.9,15.9 to 28.2,More than 28.2
15,1,Less than 15.9,15.9 to 28.3,More than 28.3
15,2,Less than 15.9,15.9 to 28.4,More than 28.4
15,3,Less than 16.0,16.0 to 28.4,More than 28.4
15,4,Less than 16.0,16.0 to 28.5,More than 28.5
15,5,Less than 16.0,16.0 to 28.6,More than 28.5
15,6,Less than 16.0,16.0 to 28.6,More than 28.6
15,7,Less than 16.1,16.1 to 28.7,More than 28.6
15 15,8,Less than 16.1 Less than 16.1,16.1 to 28.7 16.1 to 28.7,More than 28.7 More than
,9,,,28.7
15,10,Less than 16.1 Less than,16.1 to 28.8 16.2 to 28.8,More than 28.8 More than 28.8
15,11,16.2,,
16,0,Less than 16.2,16.2 to 28.9,More than 28.9
16,1,Less than 16.2,16.2 to 28.9,More than 28.9
16 16,2,Less than 16.2,16.2 to 29.0,More than 29.0 More than 29.0
,3,Less than 16.2,16.2 to 29.0,
16,4,Less than 16.2,16.2 to 29.0,More than 29.0
16,5,Less than 16.3,16.3 to 29.1,More than 29.1
16,6,Less than 16.3,16.3 to 29.1,More than 29.1
16,7,Less than 16.3,16.3 to 29.1,More than 29.1
16,8,Less than 16.3,16.3 to 29.2,More than 29.2
16,9,Less than 16.3,16.3 to 29.2,More than 29.2
16,10,Less than 16.3,16.3 to 29.2,More than 29.2
16,11,Less than 16.3,16.3 to 29.3,More than 29.3
17,0,Less than 16.4,16.3 to 29.3,More than 29.3
17,1,Less than 16.4,16.3 to 29.3,More than 29.3
17,2,Less than 16.4,16.3 to 29.3,More than 29.3
17,3,Less than 16.4,16.4 to 29.4,More than 29.4
17,4,Less than 16.4,16.4 to 29.4,More than 29.4
17,5,Less than 16.4,16.4 to 29.4,More than 29.4
17,6,Less than 16.4,16.4 to 29.4,More than 29.4
17,7,Less than 16.4,16.4 to 29.4,More than 29.4
17,8,Less than 16.4,16.4 to 29.4,More than 29.5 More than 29.5
17,9,Less than 16.4,16.4 to 29.4,
17,10,Less than 16.4,16.4 to 29.4,More than 29.5
17,11,Less than 16.4,16.4 to 29.4,More than 29.5 More than
18,0,Less than 16.4,16.4 to 29.4,29.5
